Ngay,Chi_so_UV
2025-03-02,3.2
2025-03-03,3.3
2025-03-04,3.3
2025-03-05,3.4
2025-03-06,3.4
2025-03-07,3.3
2025-03-08,3.55
2025-03-09,3.45
2025-03-10,3.55
2025-03-11,3.2
2025-03-12,3.55
2025-03-13,3.0
2025-03-14,3.4
2025-03-15,2.15
2025-03-16,4.0
2025-03-17,3.9
2025-03-18,4.15
2025-03-19,4.15
2025-03-20,4.15
2025-03-21,4.1
2025-03-22,4.2
2025-03-23,3.55
2025-03-24,3.1
2025-03-25,4.45
2025-03-26,2.3
2025-03-27,4.55
2025-03-28,4.6
2025-03-29,4.35
2025-03-30,2.05
2025-03-31,2.75
2025-04-01,4.6
2025-04-02,4.55
2025-04-03,4.7
2025-04-04,4.8
2025-04-05,4.6
2025-04-06,4.8
2025-04-07,4.4
2025-04-08,4.85
2025-04-09,4.45
2025-04-10,4.95
2025-04-11,4.2
2025-04-12,5.2
2025-04-13,5.05
2025-04-14,5.25
2025-04-15,4.75
2025-04-16,5.4
2025-04-17,5.45
2025-04-18,1.25
2025-04-19,0.7
2025-04-20,5.6
2025-04-21,4.6
2025-04-22,5.45
2025-04-23,4.25
2025-04-24,4.35
2025-04-25,5.7
2025-04-26,5.75
2025-04-27,5.85
2025-04-28,5.85
2025-04-29,5.9
2025-04-30,5.8
2025-05-01,6.0
2025-05-02,6.0
2025-05-03,5.75
2025-05-04,5.15
2025-05-05,5.9
2025-05-06,6.0
2025-05-07,5.2
2025-05-08,4.55
2025-05-09,6.05
2025-05-10,5.2
2025-05-11,6.1
2025-05-12,6.2
2025-05-13,6.2
2025-05-14,6.15
2025-05-15,5.65
2025-05-16,5.7
